高通,强调,不会因为只考虑性能而去屏蔽掉小核心。相反，他们正联手微软，找到一种适合桌面平台的、兼顾性能和功耗的完美方案。
报道,称,微软已经拿到了一些新的源码，以便Windows10更好地理解big.little架构。
刘青,表示,“一开始根本不敢看她，心里挺别扭，感觉很尴尬”，但当刘青跟随女子上了南坪快速路主干道时，女子作出了让人意想不到的举动，她突然靠近护栏要从上面跳下去，刘青赶忙冲上去拉住了女子的手，将其控制住并远离护栏。碍于女子没有穿衣服，刘青递上衣服，女子没接受还把衣服扔到排水沟里，继续往前走，没办法刘青只能紧紧拉着她的一只手跟在后面。
证券,指出,利好并未引起市场太大的热情，两市指数和成交量均较为平淡，但市场风格出现了较大变化，白马股金融股上涨的同时，成长股、题材股全天低迷。这表明市场增量资金依然很少，存量资金在不同板块之间腾挪，这样的跷跷板格局使得指数难有突破。
罗忠生,表示,“我敢打赌，12个月之后，在座的各位手机都会换掉。
证券,表示,在纳入MSCI指数之后，A股将迎来约850亿元人民币的增量资金。预计金融股有望吸引增量资金约350亿元人民币。
公告,称,“俄空军在叙利亚领空执行任务的地区里，幼发拉底河西岸发现的任何飞行物，包括美国领导的国际联军的飞机和无人机，都将是俄罗斯军方地面和空中防空武器监控与瞄准的目标。
外长拉夫罗夫,表示,“涉及到叙利亚地面所发生的事情，毫无疑问，我们认为有必要尊重叙利亚的主权和领土完整，这是联合国2254号决议和其他文件规定的。因此，任何地面行动，包括实施军事行动的参与方，需得到大马士革的许可。
业内人士,表示,“整个手机供应链除了海思以外基本都匍匐在OV面前求临幸，为啥？单项目量大/付款好/计划负责不拍脑袋/不惦记偷供应商技术/不瞎JB砍价/没有各种脑残流程/没有暗箱操作，这样的客户谁不拼死供货就是作死。而且这两家公司上上下下的员工都很nice，讲规则讲道理不耍大牌，还经常请供应商吃饭。有家高端物料供应商直接说：除了OV，其他有多少余力做多少。
分析师日记本,表示,“说得好！他们都很nice而且虚心好学，不会像某些大厂的老资格一上来就拍恪
